device,package,quantity
DBS101G,,2
100u,"E3,5-8",3
100u,"E2,5-6",3
100u,"E2,5-5",2
0.1u,0805,3
0.1u,0603,4
10u,SMC_A,2
1.0u,SMC_A,1
BAT54C,SOT23,1
1N4148WS,SOD323,4
OP1177R,SOIC8,1
TL082D,SOIC8,1
AD8515,SOT23-5,1
AD8615,SOT23-5,1
AD8221,SOIC8,1
AD7476,SOT23-6,1
REF3033,SOT23,2
LM337LM,SOIC8,1
317EMP,SOT223,3
LM2931-5.0,SOIC8,1
OP184,SOIC8,1
DAC8551,MSOP8,1
LED,0805,2
IRLML2803,SOT23,1
R3296W-100k,3296W,2
R1k,0603,2
R10k,0603,4
R750k,0603,1
R499,0805,1
R240,0805,3
R2k2,0805,2
R5k6,0805,1
R100k,0603,3
R1M,0603,1
R7k5,0603,1
R3k,0603,1
R2k,0603,1
R10,0603,1
R240,0603,1
R750,0603,1
R75k,0603,1
BNC-206,BNC-206,2
switch,,1
ZL212-20KG,,1
